Title,Author,Original_Category,Description
Fiction in American Magazines Before 1800,Edward W. R. Pitcher,Language Arts & Disciplines,"An easy-to-use identification manual for plants in eastern United States. Identification is through keys in which the matching of plant characteristics leads to family, genus, species and common name. The book also lists flowering dates, habitat and degree of rarity."
Cloning,Stephen D. Fairbanks,Science,"The terms 'recombinant DNA technology', 'DNA cloning', 'molecular cloning' or 'gene cloning' all refer to the same process: the transfer of a DNA fragment of interest from one organism to a self-replicating genetic element such as a bacterial plasmid. The DNA of interest can then be propagated in a foreign host cell. This technology has been around since the 1970s, and it has become a common practice in molecular biology labs today. Reproductive cloning is a technology used to generate an animal that has the same nuclear DNA as another currently or previously existing animal. Dolly was created by reproductive cloning technology. In a process called 'somatic cell nuclear transfer' (SCNT), scientists transfer genetic material from the nucleus of a donor adult cell to an egg whose nucleus, and thus its genetic material, has been removed. The reconstructed egg containing the DNA from a donor cell must be treated with chemicals or electric current in order to stimulate cell division. Once the cloned embryo reaches a suitable stage, it is transferred to the uterus of a female host where it continues to develop until birth. Therapeutic cloning, also called ""embryo cloning,"" is the production of human embryos for use in research. The goal of this process is not to create cloned human beings, but rather to harvest stem cells that can be used to study human development and to treat disease. Stem cells are important to biomedical researchers because they can be used to generate virtually any type of specialised cell in the human body. This new book presents an up-to-date Chronology of Cloning along with current and selected abstracts dealing with cloning as well as a guide to books on the topic. Access to the abstract and books sections is provided by title, subject and author indexes."
"The Sage Encyclopedia of Qualitative Research Methods: A-L ; Vol. 2, M-Z Index",Lisa M. Given,Reference,An encyclopedia about various methods of qualitative research.
Modelling Nature: An Opinionated Introduction to Scientific Representation,"Roman Frigg, James Nguyen",Philosophy,"This monograph offers a critical introduction to current theories of how scientific models represent their target systems. Representation is important because it allows scientists to study a model to discover features of reality. The authors provide a map of the conceptual landscape surrounding the issue of scientific representation, arguing that it consists of multiple intertwined problems. They provide an encyclopaedic overview of existing attempts to answer these questions, and they assess their strengths and weaknesses. The book also presents a comprehensive statement of their alternative proposal, the DEKI account of representation, which they have developed over the last few years. They show how the account works in the case of material as well as non-material models; how it accommodates the use of mathematics in scientific modelling; and how it sheds light on the relation between representation in science and art. The issue of representation has generated a sizeable literature, which has been growing fast in particular over the last decade. This makes it hard for novices to get a handle on the topic because so far there is no book-length introduction that would guide them through the discussion. Likewise, researchers may require a comprehensive review that they can refer to for critical evaluations. This book meets the needs of both groups."
Models and Idealizations in Science,"Alejandro Cassini, Juan Redmond",Philosophy,"This book provides both an introduction to the philosophy of scientific modeling and a contribution to the discussion and clarification of two recent philosophical conceptions of models: artifactualism and fictionalism. These can be viewed as different stances concerning the standard representationalist account of scientific models. By better understanding these two alternative views, readers will gain a deeper insight into what a model is as well as how models function in different sciences. Fictionalism has been a traditional epistemological stance related to antirealist construals of laws and theories, such as instrumentalism and inferentialism. By contrast, the more recent fictional view of models holds that scientific models must be conceived of as the same kind of entities as literary characters and places. This approach is essentially an answer to the ontological question concerning the nature of models, which in principle is not incompatible with a representationalist account of the function of models. The artifactual view of models is an approach according to which scientific models are epistemic artifacts, whose main function is not to represent the phenomena but rather to provide epistemic access to them. It can be conceived of as a non-representationalist and pragmatic account of modeling, which does not intend to focus on the ontology of models but rather on the ways they are built and used for different purposes. The different essays address questions such as the artifactual view of idealization, the use of information theory to elucidate the concepts of abstraction and idealization, the deidealization of models, the nature of scientific fictions, the structural account of representation and the ontological status of structures, the role of surrogative reasoning with models, and the use of models for explaining and predicting physical phenomena."
Springer Handbook of Model-Based Science,"Lorenzo Magnani, Tommaso Bertolotti",Technology & Engineering,"This handbook offers the first comprehensive reference guide to the interdisciplinary field of model-based reasoning. It highlights the role of models as mediators between theory and experimentation, and as educational devices, as well as their relevance in testing hypotheses and explanatory functions. The Springer Handbook merges philosophical, cognitive and epistemological perspectives on models with the more practical needs related to the application of this tool across various disciplines and practices. The result is a unique, reliable source of information that guides readers toward an understanding of different aspects of model-based science, such as the theoretical and cognitive nature of models, as well as their practical and logical aspects. The inferential role of models in hypothetical reasoning, abduction and creativity once they are constructed, adopted, and manipulated for different scientific and technological purposes is also discussed. Written by a group of internationally renowned experts in philosophy, the history of science, general epistemology, mathematics, cognitive and computer science, physics and life sciences, as well as engineering, architecture, and economics, this Handbook uses numerous diagrams, schemes and other visual representations to promote a better understanding of the concepts. This also makes it highly accessible to an audience of scholars and students with different scientific backgrounds. All in all, the Springer Handbook of Model-Based Science represents the definitive application-oriented reference guide to the interdisciplinary field of model-based reasoning."
Why We Read Fiction,Lisa Zunshine,Literary Criticism,"Why We Read Fiction offers a lucid overview of the most exciting area of research in contemporary cognitive psychology known as ""Theory of Mind"" and discusses its implications for literary studies. It covers a broad range of fictional narratives, from Richardson s Clarissa, Dostoyevski's Crime and Punishment, and Austen s Pride and Prejudice to Woolf's Mrs. Dalloway, Nabokov's Lolita, and Hammett s The Maltese Falcon. Zunshine's surprising new interpretations of well-known literary texts and popular cultural representations constantly prod her readers to rethink their own interest in fictional narrative. Written for a general audience, this study provides a jargon-free introduction to the rapidly growing interdisciplinary field known as cognitive approaches to literature and culture."
Anticipations of the Reaction of Mechanical and Scientific Progress Upon Human Life and Thought,Herbert George Wells,Science,"Anticipations of the Reaction of Mechanical and Scientific Progress upon Human Life and Thought, generally known as Anticipations, was written by H.G. Wells at the age of 34. He later called the book, which became a bestseller, ""the keystone to the main arch of my work."" His most recent biographer, however, calls the volume ""both the starting point and the lowest point in Wells's career as a social thinker.""Taking the revolution in transport facilitated by the ""mechanical revolution"" as his point of departure, Wells told readers they were living through a reorganization of human society that would alter every dimension of life. An academic biographer has described the degree of accuracy of Wells's predictions as ""certainly phenomenal.""The chapters of Anticipations appeared in Great Britain in the Fortnightly Review (April-December 1901) and in the United States in the North American Review (June-November 1901), and were published as a book in November 1901. Anticipations was ""Wells's first non-fiction bestseller."""
Nandanar's Children,Raj Sekhar Basu,History,"The narrative of this book is built around the historical experiences of the Paraiyars of Tamil Nadu. The author traces the transformation of the Paraiyars from an ‘untouchable’ and socially despised community to one that came to acquire prominence in the political scene of Tamil Nadu, especially in early 20th century. Through this framework, the book studies a number of issues: subaltern history, colonial ethnography, agrarian systems, agrarian bondage, land legislations, and the interventions by missionaries and social and political organizations."
Alberuni's India,"Muḥammad ibn Aḥmad Bīrūnī, Eduard Sachau",History,"First Published in 2000. Routledge is an imprint of Taylor & Francis, an informa company."
